Epoch [1/300] (Training), Loss: 2.7655, Accuracy: 0.1241, Precision: 0.0775, Recall: 0.1241, F1-Score: 0.0789
Epoch [1/300] (Validation), Loss: 2.7499, Accuracy: 0.1940, Precision: 0.0944, Recall: 0.1940, F1-Score: 0.1178
Epoch [2/300] (Training), Loss: 2.7376, Accuracy: 0.2482, Precision: 0.2516, Recall: 0.2482, F1-Score: 0.1931
Epoch [2/300] (Validation), Loss: 2.7214, Accuracy: 0.2239, Precision: 0.1969, Recall: 0.2239, F1-Score: 0.1770
Epoch [3/300] (Training), Loss: 2.7006, Accuracy: 0.3126, Precision: 0.2066, Recall: 0.3126, F1-Score: 0.2357
Epoch [3/300] (Validation), Loss: 2.6777, Accuracy: 0.3209, Precision: 0.3089, Recall: 0.3209, F1-Score: 0.2456
Epoch [4/300] (Training), Loss: 2.6490, Accuracy: 0.3628, Precision: 0.2926, Recall: 0.3628, F1-Score: 0.2871
Epoch [4/300] (Validation), Loss: 2.6210, Accuracy: 0.3433, Precision: 0.2647, Recall: 0.3433, F1-Score: 0.2663
Epoch [5/300] (Training), Loss: 2.5851, Accuracy: 0.4177, Precision: 0.4090, Recall: 0.4177, F1-Score: 0.3434
Epoch [5/300] (Validation), Loss: 2.5541, Accuracy: 0.4030, Precision: 0.2855, Recall: 0.4030, F1-Score: 0.3174
Epoch [6/300] (Training), Loss: 2.5217, Accuracy: 0.4821, Precision: 0.5372, Recall: 0.4821, F1-Score: 0.4141
Epoch [6/300] (Validation), Loss: 2.4969, Accuracy: 0.4627, Precision: 0.4739, Recall: 0.4627, F1-Score: 0.3905
Epoch [7/300] (Training), Loss: 2.4640, Accuracy: 0.5227, Precision: 0.6097, Recall: 0.5227, F1-Score: 0.4717
Epoch [7/300] (Validation), Loss: 2.4477, Accuracy: 0.5597, Precision: 0.5535, Recall: 0.5597, F1-Score: 0.5048
Epoch [8/300] (Training), Loss: 2.4199, Accuracy: 0.5656, Precision: 0.5854, Recall: 0.5656, F1-Score: 0.5183
Epoch [8/300] (Validation), Loss: 2.4105, Accuracy: 0.5522, Precision: 0.5384, Recall: 0.5522, F1-Score: 0.5020
Epoch [9/300] (Training), Loss: 2.3812, Accuracy: 0.5871, Precision: 0.6474, Recall: 0.5871, F1-Score: 0.5443
Epoch [9/300] (Validation), Loss: 2.3804, Accuracy: 0.5597, Precision: 0.5439, Recall: 0.5597, F1-Score: 0.5069
Epoch [10/300] (Training), Loss: 2.3475, Accuracy: 0.6420, Precision: 0.6989, Recall: 0.6420, F1-Score: 0.6056
Epoch [10/300] (Validation), Loss: 2.3580, Accuracy: 0.5448, Precision: 0.4783, Recall: 0.5448, F1-Score: 0.4832
Epoch [11/300] (Training), Loss: 2.3217, Accuracy: 0.6181, Precision: 0.6787, Recall: 0.6181, F1-Score: 0.5843
Epoch [11/300] (Validation), Loss: 2.3319, Accuracy: 0.5821, Precision: 0.5831, Recall: 0.5821, F1-Score: 0.5389
Epoch [12/300] (Training), Loss: 2.2943, Accuracy: 0.6420, Precision: 0.6893, Recall: 0.6420, F1-Score: 0.6124
Epoch [12/300] (Validation), Loss: 2.3144, Accuracy: 0.5373, Precision: 0.5690, Recall: 0.5373, F1-Score: 0.5046
Epoch [13/300] (Training), Loss: 2.2736, Accuracy: 0.6468, Precision: 0.6814, Recall: 0.6468, F1-Score: 0.6156
Epoch [13/300] (Validation), Loss: 2.2925, Accuracy: 0.5821, Precision: 0.5903, Recall: 0.5821, F1-Score: 0.5423
Epoch [14/300] (Training), Loss: 2.2530, Accuracy: 0.6874, Precision: 0.6898, Recall: 0.6874, F1-Score: 0.6624
Epoch [14/300] (Validation), Loss: 2.2808, Accuracy: 0.5970, Precision: 0.6233, Recall: 0.5970, F1-Score: 0.5679
Epoch [15/300] (Training), Loss: 2.2334, Accuracy: 0.7112, Precision: 0.7315, Recall: 0.7112, F1-Score: 0.6861
Epoch [15/300] (Validation), Loss: 2.2635, Accuracy: 0.5970, Precision: 0.5812, Recall: 0.5970, F1-Score: 0.5590
Epoch [16/300] (Training), Loss: 2.2164, Accuracy: 0.7064, Precision: 0.7292, Recall: 0.7064, F1-Score: 0.6835
Epoch [16/300] (Validation), Loss: 2.2513, Accuracy: 0.5970, Precision: 0.6148, Recall: 0.5970, F1-Score: 0.5713
Epoch [17/300] (Training), Loss: 2.1963, Accuracy: 0.7375, Precision: 0.7454, Recall: 0.7375, F1-Score: 0.7162
Epoch [17/300] (Validation), Loss: 2.2389, Accuracy: 0.5970, Precision: 0.5624, Recall: 0.5970, F1-Score: 0.5524
Epoch [18/300] (Training), Loss: 2.1859, Accuracy: 0.7375, Precision: 0.7437, Recall: 0.7375, F1-Score: 0.7168
Epoch [18/300] (Validation), Loss: 2.2296, Accuracy: 0.6269, Precision: 0.6260, Recall: 0.6269, F1-Score: 0.5875
Epoch [19/300] (Training), Loss: 2.1706, Accuracy: 0.7470, Precision: 0.7470, Recall: 0.7470, F1-Score: 0.7283
Epoch [19/300] (Validation), Loss: 2.2164, Accuracy: 0.6343, Precision: 0.6342, Recall: 0.6343, F1-Score: 0.6091
Epoch [20/300] (Training), Loss: 2.1592, Accuracy: 0.7518, Precision: 0.7462, Recall: 0.7518, F1-Score: 0.7325
Epoch [20/300] (Validation), Loss: 2.2055, Accuracy: 0.6418, Precision: 0.6181, Recall: 0.6418, F1-Score: 0.6089
Epoch [21/300] (Training), Loss: 2.1491, Accuracy: 0.7494, Precision: 0.7558, Recall: 0.7494, F1-Score: 0.7317
Epoch [21/300] (Validation), Loss: 2.2041, Accuracy: 0.6418, Precision: 0.6335, Recall: 0.6418, F1-Score: 0.6114
Epoch [22/300] (Training), Loss: 2.1369, Accuracy: 0.7685, Precision: 0.7645, Recall: 0.7685, F1-Score: 0.7505
Epoch [22/300] (Validation), Loss: 2.1980, Accuracy: 0.6343, Precision: 0.6057, Recall: 0.6343, F1-Score: 0.5994
Epoch [23/300] (Training), Loss: 2.1283, Accuracy: 0.7637, Precision: 0.7982, Recall: 0.7637, F1-Score: 0.7474
Epoch [23/300] (Validation), Loss: 2.1906, Accuracy: 0.6343, Precision: 0.6374, Recall: 0.6343, F1-Score: 0.6101
Epoch [24/300] (Training), Loss: 2.1223, Accuracy: 0.7924, Precision: 0.8300, Recall: 0.7924, F1-Score: 0.7793
Epoch [24/300] (Validation), Loss: 2.1812, Accuracy: 0.6642, Precision: 0.6528, Recall: 0.6642, F1-Score: 0.6324
Epoch [25/300] (Training), Loss: 2.1109, Accuracy: 0.7757, Precision: 0.7672, Recall: 0.7757, F1-Score: 0.7548
Epoch [25/300] (Validation), Loss: 2.1764, Accuracy: 0.6567, Precision: 0.6350, Recall: 0.6567, F1-Score: 0.6286
Epoch [26/300] (Training), Loss: 2.1018, Accuracy: 0.7900, Precision: 0.7855, Recall: 0.7900, F1-Score: 0.7704
Epoch [26/300] (Validation), Loss: 2.1771, Accuracy: 0.6567, Precision: 0.6504, Recall: 0.6567, F1-Score: 0.6261
Epoch [27/300] (Training), Loss: 2.0975, Accuracy: 0.7852, Precision: 0.8201, Recall: 0.7852, F1-Score: 0.7698
Epoch [27/300] (Validation), Loss: 2.1668, Accuracy: 0.6567, Precision: 0.6437, Recall: 0.6567, F1-Score: 0.6292
Epoch [28/300] (Training), Loss: 2.0874, Accuracy: 0.7876, Precision: 0.7784, Recall: 0.7876, F1-Score: 0.7697
Epoch [28/300] (Validation), Loss: 2.1619, Accuracy: 0.6493, Precision: 0.6451, Recall: 0.6493, F1-Score: 0.6210
Epoch [29/300] (Training), Loss: 2.0772, Accuracy: 0.8305, Precision: 0.8617, Recall: 0.8305, F1-Score: 0.8174
Epoch [29/300] (Validation), Loss: 2.1555, Accuracy: 0.6716, Precision: 0.6475, Recall: 0.6716, F1-Score: 0.6423
Epoch [30/300] (Training), Loss: 2.0757, Accuracy: 0.8043, Precision: 0.8401, Recall: 0.8043, F1-Score: 0.7904
Epoch [30/300] (Validation), Loss: 2.1539, Accuracy: 0.6642, Precision: 0.6429, Recall: 0.6642, F1-Score: 0.6362
Epoch [31/300] (Training), Loss: 2.0685, Accuracy: 0.8162, Precision: 0.8499, Recall: 0.8162, F1-Score: 0.8021
Epoch [31/300] (Validation), Loss: 2.1494, Accuracy: 0.6567, Precision: 0.6496, Recall: 0.6567, F1-Score: 0.6266
Epoch [32/300] (Training), Loss: 2.0612, Accuracy: 0.8067, Precision: 0.7941, Recall: 0.8067, F1-Score: 0.7884
Epoch [32/300] (Validation), Loss: 2.1497, Accuracy: 0.6791, Precision: 0.6665, Recall: 0.6791, F1-Score: 0.6452
Epoch [33/300] (Training), Loss: 2.0570, Accuracy: 0.8019, Precision: 0.8373, Recall: 0.8019, F1-Score: 0.7878
Epoch [33/300] (Validation), Loss: 2.1417, Accuracy: 0.6642, Precision: 0.6508, Recall: 0.6642, F1-Score: 0.6422
Epoch [34/300] (Training), Loss: 2.0544, Accuracy: 0.8210, Precision: 0.8526, Recall: 0.8210, F1-Score: 0.8059
Epoch [34/300] (Validation), Loss: 2.1402, Accuracy: 0.6642, Precision: 0.6584, Recall: 0.6642, F1-Score: 0.6461
Epoch [35/300] (Training), Loss: 2.0433, Accuracy: 0.8186, Precision: 0.8402, Recall: 0.8186, F1-Score: 0.8034
Epoch [35/300] (Validation), Loss: 2.1453, Accuracy: 0.6791, Precision: 0.6706, Recall: 0.6791, F1-Score: 0.6486
Epoch [36/300] (Training), Loss: 2.0441, Accuracy: 0.8186, Precision: 0.8546, Recall: 0.8186, F1-Score: 0.8046
Epoch [36/300] (Validation), Loss: 2.1411, Accuracy: 0.6716, Precision: 0.6506, Recall: 0.6716, F1-Score: 0.6448
Epoch [37/300] (Training), Loss: 2.0388, Accuracy: 0.8377, Precision: 0.8694, Recall: 0.8377, F1-Score: 0.8270
Epoch [37/300] (Validation), Loss: 2.1353, Accuracy: 0.6791, Precision: 0.6759, Recall: 0.6791, F1-Score: 0.6546
Epoch [38/300] (Training), Loss: 2.0335, Accuracy: 0.8425, Precision: 0.8729, Recall: 0.8425, F1-Score: 0.8313
Epoch [38/300] (Validation), Loss: 2.1327, Accuracy: 0.6940, Precision: 0.6913, Recall: 0.6940, F1-Score: 0.6794
Epoch [39/300] (Training), Loss: 2.0271, Accuracy: 0.8425, Precision: 0.8673, Recall: 0.8425, F1-Score: 0.8314
Epoch [39/300] (Validation), Loss: 2.1307, Accuracy: 0.6716, Precision: 0.6624, Recall: 0.6716, F1-Score: 0.6518
Epoch [40/300] (Training), Loss: 2.0249, Accuracy: 0.8377, Precision: 0.8651, Recall: 0.8377, F1-Score: 0.8271
Epoch [40/300] (Validation), Loss: 2.1280, Accuracy: 0.6642, Precision: 0.6511, Recall: 0.6642, F1-Score: 0.6420
Epoch [41/300] (Training), Loss: 2.0225, Accuracy: 0.8329, Precision: 0.8627, Recall: 0.8329, F1-Score: 0.8213
Epoch [41/300] (Validation), Loss: 2.1290, Accuracy: 0.6791, Precision: 0.6557, Recall: 0.6791, F1-Score: 0.6508
Epoch [42/300] (Training), Loss: 2.0166, Accuracy: 0.8592, Precision: 0.8838, Recall: 0.8592, F1-Score: 0.8485
Epoch [42/300] (Validation), Loss: 2.1229, Accuracy: 0.6791, Precision: 0.6699, Recall: 0.6791, F1-Score: 0.6597
Epoch [43/300] (Training), Loss: 2.0146, Accuracy: 0.8496, Precision: 0.8693, Recall: 0.8496, F1-Score: 0.8379
Epoch [43/300] (Validation), Loss: 2.1235, Accuracy: 0.6642, Precision: 0.6889, Recall: 0.6642, F1-Score: 0.6550
Epoch [44/300] (Training), Loss: 2.0116, Accuracy: 0.8544, Precision: 0.8817, Recall: 0.8544, F1-Score: 0.8420
Epoch [44/300] (Validation), Loss: 2.1224, Accuracy: 0.6791, Precision: 0.6796, Recall: 0.6791, F1-Score: 0.6626
Epoch [45/300] (Training), Loss: 2.0121, Accuracy: 0.8449, Precision: 0.8688, Recall: 0.8449, F1-Score: 0.8314
Epoch [45/300] (Validation), Loss: 2.1216, Accuracy: 0.6567, Precision: 0.6515, Recall: 0.6567, F1-Score: 0.6389
Epoch [46/300] (Training), Loss: 2.0035, Accuracy: 0.8544, Precision: 0.8793, Recall: 0.8544, F1-Score: 0.8404
Epoch [46/300] (Validation), Loss: 2.1323, Accuracy: 0.6418, Precision: 0.6263, Recall: 0.6418, F1-Score: 0.6183
Epoch [47/300] (Training), Loss: 2.0031, Accuracy: 0.8640, Precision: 0.8902, Recall: 0.8640, F1-Score: 0.8531
Epoch [47/300] (Validation), Loss: 2.1305, Accuracy: 0.6866, Precision: 0.6749, Recall: 0.6866, F1-Score: 0.6573
Epoch [48/300] (Training), Loss: 1.9966, Accuracy: 0.8592, Precision: 0.8846, Recall: 0.8592, F1-Score: 0.8478
Epoch [48/300] (Validation), Loss: 2.1191, Accuracy: 0.6791, Precision: 0.6695, Recall: 0.6791, F1-Score: 0.6601
Epoch [49/300] (Training), Loss: 1.9995, Accuracy: 0.8568, Precision: 0.8799, Recall: 0.8568, F1-Score: 0.8456
Epoch [49/300] (Validation), Loss: 2.1133, Accuracy: 0.6866, Precision: 0.6740, Recall: 0.6866, F1-Score: 0.6657
Epoch [50/300] (Training), Loss: 1.9950, Accuracy: 0.8687, Precision: 0.8875, Recall: 0.8687, F1-Score: 0.8578
Epoch [50/300] (Validation), Loss: 2.1162, Accuracy: 0.6716, Precision: 0.6537, Recall: 0.6716, F1-Score: 0.6466
Epoch [51/300] (Training), Loss: 1.9910, Accuracy: 0.8735, Precision: 0.8949, Recall: 0.8735, F1-Score: 0.8601
Epoch [51/300] (Validation), Loss: 2.1188, Accuracy: 0.6493, Precision: 0.6434, Recall: 0.6493, F1-Score: 0.6281
Epoch [52/300] (Training), Loss: 1.9885, Accuracy: 0.8759, Precision: 0.8945, Recall: 0.8759, F1-Score: 0.8638
Epoch [52/300] (Validation), Loss: 2.1076, Accuracy: 0.6791, Precision: 0.6576, Recall: 0.6791, F1-Score: 0.6539
Epoch [53/300] (Training), Loss: 1.9855, Accuracy: 0.8616, Precision: 0.8844, Recall: 0.8616, F1-Score: 0.8498
Epoch [53/300] (Validation), Loss: 2.1158, Accuracy: 0.6716, Precision: 0.6626, Recall: 0.6716, F1-Score: 0.6475
Epoch [54/300] (Training), Loss: 1.9829, Accuracy: 0.8663, Precision: 0.8910, Recall: 0.8663, F1-Score: 0.8550
Epoch [54/300] (Validation), Loss: 2.1060, Accuracy: 0.6866, Precision: 0.6848, Recall: 0.6866, F1-Score: 0.6686
Epoch [55/300] (Training), Loss: 1.9805, Accuracy: 0.8711, Precision: 0.8950, Recall: 0.8711, F1-Score: 0.8600
Epoch [55/300] (Validation), Loss: 2.1141, Accuracy: 0.6642, Precision: 0.6561, Recall: 0.6642, F1-Score: 0.6446
Epoch [56/300] (Training), Loss: 1.9758, Accuracy: 0.8640, Precision: 0.8500, Recall: 0.8640, F1-Score: 0.8478
Epoch [56/300] (Validation), Loss: 2.1063, Accuracy: 0.6940, Precision: 0.6846, Recall: 0.6940, F1-Score: 0.6747
Epoch [57/300] (Training), Loss: 1.9775, Accuracy: 0.8640, Precision: 0.8904, Recall: 0.8640, F1-Score: 0.8502
Epoch [57/300] (Validation), Loss: 2.1081, Accuracy: 0.7015, Precision: 0.6828, Recall: 0.7015, F1-Score: 0.6750
Epoch [58/300] (Training), Loss: 1.9773, Accuracy: 0.8425, Precision: 0.8704, Recall: 0.8425, F1-Score: 0.8272
Epoch [58/300] (Validation), Loss: 2.1119, Accuracy: 0.6716, Precision: 0.6788, Recall: 0.6716, F1-Score: 0.6584
Epoch [59/300] (Training), Loss: 1.9685, Accuracy: 0.8807, Precision: 0.9036, Recall: 0.8807, F1-Score: 0.8669
Epoch [59/300] (Validation), Loss: 2.1095, Accuracy: 0.6866, Precision: 0.6793, Recall: 0.6866, F1-Score: 0.6653
Epoch [60/300] (Training), Loss: 1.9684, Accuracy: 0.8735, Precision: 0.8522, Recall: 0.8735, F1-Score: 0.8574
Epoch [60/300] (Validation), Loss: 2.1053, Accuracy: 0.6866, Precision: 0.6684, Recall: 0.6866, F1-Score: 0.6597
Epoch [61/300] (Training), Loss: 1.9669, Accuracy: 0.8735, Precision: 0.8524, Recall: 0.8735, F1-Score: 0.8572
Epoch [61/300] (Validation), Loss: 2.1067, Accuracy: 0.7164, Precision: 0.7137, Recall: 0.7164, F1-Score: 0.6977
Epoch [62/300] (Training), Loss: 1.9662, Accuracy: 0.8663, Precision: 0.8506, Recall: 0.8663, F1-Score: 0.8491
Epoch [62/300] (Validation), Loss: 2.1082, Accuracy: 0.7015, Precision: 0.6786, Recall: 0.7015, F1-Score: 0.6721
Epoch [63/300] (Training), Loss: 1.9637, Accuracy: 0.8831, Precision: 0.8615, Recall: 0.8831, F1-Score: 0.8669
Epoch [63/300] (Validation), Loss: 2.1126, Accuracy: 0.6716, Precision: 0.6564, Recall: 0.6716, F1-Score: 0.6461
Epoch [64/300] (Training), Loss: 1.9620, Accuracy: 0.8759, Precision: 0.8607, Recall: 0.8759, F1-Score: 0.8588
Epoch [64/300] (Validation), Loss: 2.1031, Accuracy: 0.6940, Precision: 0.6864, Recall: 0.6940, F1-Score: 0.6795
Epoch [65/300] (Training), Loss: 1.9575, Accuracy: 0.8998, Precision: 0.9193, Recall: 0.8998, F1-Score: 0.8882
Epoch [65/300] (Validation), Loss: 2.1082, Accuracy: 0.6866, Precision: 0.6907, Recall: 0.6866, F1-Score: 0.6619
Epoch [66/300] (Training), Loss: 1.9578, Accuracy: 0.8831, Precision: 0.8607, Recall: 0.8831, F1-Score: 0.8661
Epoch [66/300] (Validation), Loss: 2.1109, Accuracy: 0.6567, Precision: 0.6447, Recall: 0.6567, F1-Score: 0.6310
Epoch [67/300] (Training), Loss: 1.9573, Accuracy: 0.8807, Precision: 0.8612, Recall: 0.8807, F1-Score: 0.8643
Epoch [67/300] (Validation), Loss: 2.1056, Accuracy: 0.7164, Precision: 0.7085, Recall: 0.7164, F1-Score: 0.7007
Epoch [68/300] (Training), Loss: 1.9522, Accuracy: 0.8878, Precision: 0.8687, Recall: 0.8878, F1-Score: 0.8713
Epoch [68/300] (Validation), Loss: 2.0997, Accuracy: 0.7164, Precision: 0.7178, Recall: 0.7164, F1-Score: 0.7014
Epoch [69/300] (Training), Loss: 1.9523, Accuracy: 0.8902, Precision: 0.8686, Recall: 0.8902, F1-Score: 0.8737
Epoch [69/300] (Validation), Loss: 2.1057, Accuracy: 0.6866, Precision: 0.6762, Recall: 0.6866, F1-Score: 0.6662
