[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0943_jpg.rf.5ec5e03fb50272b01f2e5623f23d343a.jpg] True label: 07_penetration_under_the_net, Predicted: 13_net_touch
[-2025-03-13-10-39-09_png.rf.471c93c8e859e7fc684d00097f90571a.jpg] True label: 03_outball, Predicted: 14_serve
[IMG_7238_mov-0104_jpg.rf.80656a4d90794c4077924333c22898ab.jpg] True label: 13_net_touch, Predicted: 07_penetration_under_the_net
[videoplayback_mp4-0186_jpg.rf.9ac2ed73054654a58a73461cdba358e1.jpg] True label: 07_penetration_under_the_net, Predicted: 14_serve
[IMG_7238_mov-0104_jpg.rf.80656a4d90794c4077924333c22898ab.jpg] True label: 13_net_touch, Predicted: 07_penetration_under_the_net
[videoplayback_mp4-0186_jpg.rf.9ac2ed73054654a58a73461cdba358e1.jpg] True label: 13_net_touch, Predicted: 07_penetration_under_the_net
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0877_jpg.rf.05503c9b6c4e06ddb77a680ddb855eee.jpg] True label: 08_catch, Predicted: 07_penetration_under_the_net
[Volleyball-Signals-Training_mp4-0059_jpg.rf.c3ba365792470a1bd04fccd007d237b8.jpg] True label: 14_serve, Predicted: 11_change_courts
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0943_jpg.rf.5ec5e03fb50272b01f2e5623f23d343a.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[-2025-03-13-10-39-09_png.rf.471c93c8e859e7fc684d00097f90571a.jpg] True label: 16_inbound, Predicted: 13_net_touch
[videoplayback_mp4-0186_jpg.rf.9ac2ed73054654a58a73461cdba358e1.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[-2025-03-13-10-36-56_png.rf.17f4ad86433b2ab2bb966ba1deea74a7.jpg] True label: 01_left, Predicted: 07_penetration_under_the_net
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0667_jpg.rf.e61dccba5e9fa572529650d484377391.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[-2025-03-13-10-39-09_png.rf.471c93c8e859e7fc684d00097f90571a.jpg] True label: 04_ball_in, Predicted: 10_substitusion
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0667_jpg.rf.e61dccba5e9fa572529650d484377391.jpg] True label: 02_right, Predicted: 14_serve
[IMG_7238_mov-0104_jpg.rf.80656a4d90794c4077924333c22898ab.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[-2025-03-13-10-36-56_png.rf.17f4ad86433b2ab2bb966ba1deea74a7.jpg] True label: 08_catch, Predicted: 13_net_touch
[IMG_7238_mov-0104_jpg.rf.80656a4d90794c4077924333c22898ab.jpg] True label: 09_end_of_setmatch, Predicted: 14_serve
[Volleyball-Signals-Training_mp4-0059_jpg.rf.c3ba365792470a1bd04fccd007d237b8.jpg] True label: 13_net_touch, Predicted: 16_inbound
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0667_jpg.rf.e61dccba5e9fa572529650d484377391.jpg] True label: 11_change_courts, Predicted: 07_penetration_under_the_net
[videoplayback_mp4-0186_jpg.rf.9ac2ed73054654a58a73461cdba358e1.jpg] True label: 02_right, Predicted: 03_outball
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0943_jpg.rf.5ec5e03fb50272b01f2e5623f23d343a.jpg] True label: 12_four_hits, Predicted: 11_change_courts
[IMG_7238_mov-0104_jpg.rf.80656a4d90794c4077924333c22898ab.jpg] True label: 16_inbound, Predicted: 11_change_courts
[Volleyball-Signals-Training_mp4-0059_jpg.rf.c3ba365792470a1bd04fccd007d237b8.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[-2025-03-13-10-39-09_png.rf.471c93c8e859e7fc684d00097f90571a.jpg] True label: 13_net_touch, Predicted: 15_double_contact
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0943_jpg.rf.5ec5e03fb50272b01f2e5623f23d343a.jpg] True label: 08_catch, Predicted: 14_serve
[-2025-03-13-10-36-56_png.rf.17f4ad86433b2ab2bb966ba1deea74a7.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[IMG_7238_mov-0104_jpg.rf.80656a4d90794c4077924333c22898ab.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[IMG_7238_mov-0104_jpg.rf.80656a4d90794c4077924333c22898ab.jpg] True label: 08_catch, Predicted: 07_penetration_under_the_net
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0943_jpg.rf.5ec5e03fb50272b01f2e5623f23d343a.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[-2025-03-13-10-36-56_png.rf.17f4ad86433b2ab2bb966ba1deea74a7.jpg] True label: 03_outball, Predicted: 14_serve
[-2025-03-13-10-39-09_png.rf.471c93c8e859e7fc684d00097f90571a.jpg] True label: 05_timeout, Predicted: 10_substitusion
[IMG_7238_mov-0104_jpg.rf.80656a4d90794c4077924333c22898ab.jpg] True label: 12_four_hits, Predicted: 15_double_contact
[-2025-03-13-10-39-09_png.rf.471c93c8e859e7fc684d00097f90571a.jpg] True label: 07_penetration_under_the_net, Predicted: 08_catch
[Volleyball-Signals-Training_mp4-0059_jpg.rf.c3ba365792470a1bd04fccd007d237b8.jpg] True label: 14_serve, Predicted: 03_outball
[2014-2015-NFHS-Volleyball-Signals-for-Referee-R1-produced-by-ZONI_mp4-0877_jpg.rf.05503c9b6c4e06ddb77a680ddb855eee.jpg] True label: 14_serve, Predicted: 07_penetration_under_the_net
